City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,59.05,67,100,3,AU,1635354413
1,puerto ayora,-0.7393,-90.3518,75.16,92,95,5.01,EC,1635354521
2,ushuaia,-54.8,-68.3,55.06,41,20,14.97,AR,1635354588
3,torbay,47.6666,-52.7314,44.58,74,100,3,CA,1635354588
4,sitka,57.0531,-135.33,46.29,81,90,4.61,US,1635354588
5,mataura,-46.1927,168.8643,46.71,98,56,2.33,NZ,1635354589
6,rikitea,-23.1203,-134.9692,73.08,78,83,5.93,PF,1635354475
7,castro,-24.7911,-50.0119,70.32,73,84,6.73,BR,1635354575
8,albany,42.6001,-73.9662,58.8,69,95,11.43,US,1635354589
9,dikson,73.5069,80.5464,7.5,92,59,3.31,RU,1635354476
10,klaksvik,62.2266,-6.589,49.12,78,39,17.11,FO,1635354589
11,butia,-30.1197,-51.9622,90.41,29,0,6.06,BR,1635354589
12,portland,45.5234,-122.6762,55.47,91,75,1.01,US,1635354296
13,mungaa,-4.9667,34.8833,74.64,39,68,11.36,TZ,1635354590
14,sao joao da barra,-21.6403,-41.0511,82.49,80,78,13.58,BR,1635354590
15,norman wells,65.282,-126.8329,24.82,93,100,4.94,CA,1635354590
16,leningradskiy,69.3833,178.4167,9.7,93,100,20.87,RU,1635354465
17,bredasdorp,-34.5322,20.0403,71.28,88,100,14.43,ZA,1635354591
18,carnarvon,-24.8667,113.6333,66.27,59,90,12.66,AU,1635354591
19,kangaatsiaq,68.3065,-53.4641,18.57,62,100,6.87,GL,1635354496
20,itacare,-14.2775,-38.9967,80.92,70,11,12.08,BR,1635354591
21,pevek,69.7008,170.3133,10.13,94,100,12.84,RU,1635354591
22,atuona,-9.8,-139.0333,77.63,69,33,15.03,PF,1635354592
23,marawi,7.9986,124.2928,64.65,96,100,3.33,PH,1635354592
24,tuatapere,-46.1333,167.6833,49.39,95,52,1.9,NZ,1635354592
25,vaini,-21.2,-175.2,73.56,88,75,8.05,TO,1635354471
26,new norfolk,-42.7826,147.0587,58.71,47,100,3.44,AU,1635354593
27,nikolskoye,59.7035,30.7861,48.87,86,100,7.38,RU,1635354492
28,evensk,61.95,159.2333,5.4,79,3,7.29,RU,1635354593
29,isangel,-19.55,169.2667,75.54,89,100,4.92,VU,1635354593
30,tiksi,71.6872,128.8694,10.51,95,100,3.91,RU,1635354594
31,labuan,5.2767,115.2417,77.16,76,94,2.89,MY,1635354594
32,busselton,-33.65,115.3333,47.05,85,26,10.11,AU,1635354594
33,nalut,30.3333,10.85,71.31,37,5,8.84,LY,1635354595
34,meulaboh,4.1363,96.1285,74.62,93,100,5.99,ID,1635354595
35,fernandopolis,-20.2839,-50.2464,78.1,71,100,4.59,BR,1635354595
36,avarua,-21.2078,-159.775,71.65,88,75,3.44,CK,1635354478
37,rovaniemi,66.5,25.7167,29.61,93,90,12.66,FI,1635354595
38,mar del plata,-38.0023,-57.5575,77.02,65,0,9.22,AR,1635354596
39,la palma,33.8464,-118.0467,77.95,58,1,1.01,US,1635354596
40,jamestown,42.097,-79.2353,56.52,85,75,4,US,1635354354
41,scarborough,54.2797,-0.4044,62.08,77,100,5.99,GB,1635354596
42,barrow,71.2906,-156.7887,21.22,86,90,9.22,US,1635354597
43,deputatskiy,69.3,139.9,-0.11,98,100,1.48,RU,1635354597
44,chulman,56.8479,124.9104,16.41,95,89,2.98,RU,1635354597
45,abu dhabi,24.4667,54.3667,84.31,61,0,4.61,AE,1635354341
46,namatanai,-3.6667,152.4333,80.06,80,45,6.8,PG,1635354597
47,harnosand,62.6323,17.9379,37.42,82,62,9.93,SE,1635354598
48,paamiut,61.994,-49.6678,32.52,71,23,12.44,GL,1635354598
49,hithadhoo,-0.6,73.0833,83.01,73,10,15.59,MV,1635354513
50,khatanga,71.9667,102.5,6.46,91,100,11.05,RU,1635354598
51,berlevag,70.8578,29.0864,28.35,74,40,11.5,NO,1635354599
52,grand-santi,4.25,-54.3833,92.89,40,58,3.09,GF,1635354599
53,cabo san lucas,22.8909,-109.9124,85.51,59,1,1.99,MX,1635354509
54,tevaitoa,-16.7833,-151.5,78.87,78,73,6.8,PF,1635354599
55,pangnirtung,66.1451,-65.7125,28.78,88,72,5.97,CA,1635354600
56,buala,-8.145,159.5921,79.95,83,53,7.11,SB,1635354600
57,nelson bay,-32.7167,152.15,64.99,97,100,4.7,AU,1635354601
58,saint-philippe,-21.3585,55.7679,72.99,78,53,10.33,RE,1635354601
59,quang ngai,15.1167,108.8,75.16,93,100,2.44,VN,1635354602
60,huarmey,-10.0681,-78.1522,71.11,70,32,11.27,PE,1635354602
61,mareeba,-17,145.4333,72.32,93,51,4.18,AU,1635354603
62,naze,28.3667,129.4833,66.94,63,15,12.91,JP,1635354501
63,bluff,-46.6,168.3333,52.25,87,46,5.91,NZ,1635354603
64,kosh-agach,50,88.6667,29.14,68,100,2.95,RU,1635354604
65,hilo,19.7297,-155.09,82.27,72,75,5.75,US,1635354365
66,airai,-8.9266,125.4092,62.53,86,92,1.63,TL,1635354417
67,port alfred,-33.5906,26.891,67.01,81,100,36.86,ZA,1635354487
68,sur,22.5667,59.5289,81,67,82,10.63,OM,1635354605
69,port hardy,50.6996,-127.4199,44.78,93,75,6.91,CA,1635354605
70,ayan,56.45,138.1667,34.74,81,91,2.57,RU,1635354606
71,ribeira grande,38.5167,-28.7,68.4,73,40,14.97,PT,1635354607
72,florianopolis,-27.6146,-48.5012,85.41,57,0,12.66,BR,1635354607
73,puerto del rosario,28.5004,-13.8627,74.88,64,20,14.97,ES,1635354608
74,esperance,-33.8667,121.9,55.58,70,84,23.64,AU,1635354608
75,kiunga,-6.1219,141.2906,73.42,100,67,2.46,PG,1635354609
76,pacific grove,36.6177,-121.9166,66.63,78,1,1.99,US,1635354437
77,punta arenas,-53.15,-70.9167,55.51,47,0,36.82,CL,1635354488
78,amazar,53.858,120.875,32.31,72,83,3.33,RU,1635354609
79,tasiilaq,65.6145,-37.6368,33.96,67,31,5.91,GL,1635354609
80,roald,62.5833,6.1333,55.54,71,75,14.97,NO,1635354610
